id,title,sponsor_extracted,confidence,method
"0966c765-d7d0-4072-b969-c943e178aa87","The County Oversight And Accountability Bill,no.3 Of 2024","","STUB","STUB_PDF_279chars"
"e232dc00-e153-431a-8c57-3e013c96b119","Committal Of A Bill - Law Of Succession ( Amendment ) Bill, 2023","","STUB","STUB_PDF_112chars"
"af3a9196-b632-4bd4-88bc-3118e5c7c637","The Sexual Offences (amendment) , Bill ,2023","","STUB","STUB_PDF_207chars"
"7f52df46-5e32-4509-ad7a-09e7ba8071ff","The Privatisation Bill, 2023","","NOT_FOUND","NOT_FOUND"
"bdec0722-4cc6-4fc4-96ad-4034b5839430","The Public Finance Management (amendment) Bill, 2023","","NOT_FOUND","NOT_FOUND"
"71027f33-0d9b-4148-ad53-efe2faaf4d55","The Public Procurement & Asset Disposal (amendment) Bill (national Assembly Bills No. 48 Of 2024)","Clerk of the National Assembly","HIGH","DEEPSEEK"
"76b1084a-7ab3-459e-a18e-4f773ba6f9d4","The Statutory Instruments(amendment) Bill, 2024","","STUB","STUB_PDF_207chars"
"ef08c2fc-ed09-4dc7-b0c1-d0bc5d4cba75","The Public Finance Management (amendment) (no.3) Bill, 2024 (national Assembly Bills No. 44)","","STUB","STUB_PDF_128chars"
"96ef0ddf-934d-4bcb-af2c-208ab611c09f","The Public Finance Management (amendment) ( No.3) Bill ( National Assembly Bills No. 44 Of 2024)","","STUB","STUB_PDF_128chars"
"fde40e1c-8c80-4e35-b0af-deb926180c89","The Power Of Mercy Bill,2025","","NOT_FOUND","NOT_FOUND"
"01d0c66e-6f03-4e34-b8b3-b0d753aa1340","The Higher Education Loans Board(amendment) Bill ,2022","","STUB","STUB_PDF_128chars"
"75f9f99e-a3af-4fe3-a356-536810e18e0d","The Division Of Revenue Bill ( National Assembly Bills No.10 Of 2025)","","STUB","STUB_PDF_279chars"
"c7b51a11-59d5-4d2e-b3ab-f38baab620e8","Order Paper For Thursday, 26th February 2026","The Chairperson, Decentralized Funds Accounts Committee","HIGH","DEEPSEEK"
"e92b6163-376a-4972-a5ea-7084197b3a16","The Treaty Making And Ratification (amendment) Bill, 2024","","STUB","STUB_PDF_128chars"
"22ad466e-4b5a-482f-a786-2cc2a3840c49","The Culture Bill, (national Assembly Bill No.12 Of 2024)","","NOT_FOUND","NOT_FOUND"
"1f75cd55-963a-4c02-908d-6b0713d0d64e","The Kenya National Council For Population And Development Bill, (national Assembly Bill No.72 Of 2023)","","NOT_FOUND","NOT_FOUND"
"15816189-a05e-478c-9f52-3d3f7a5b96cf","The County Governments Additional Allocation Bill (national Assembly Bill No.2 Of 2025)","","NOT_FOUND","NOT_FOUND"
"b9b23955-4357-4ac8-a98f-fc710fe23117","The Electronic Equipment Disposal Recycling And Reuse Bill, No.5 Of 2025","","STUB","STUB_PDF_243chars"
"bbf29e0f-d270-4a8e-a798-d09cac42cde5","The Appropriation Bill, 2023","","NOT_FOUND","NOT_FOUND"
"dd4c9fc1-2328-4119-9c1e-9b5981c2db13","The Assisted Reproductive Technology Bill (national Assembly Bills No. 61 Of 2022)","","NOT_FOUND","NOT_FOUND"
"4abaf01c-5280-4a79-89ce-8637f72e1fa7","The Tax Laws (amendment) Bil, 2024 (national Assembly Bills No. 47)","","NOT_FOUND","NOT_FOUND"
"8f45c796-f03f-49b7-8c21-980ad70c6fae","The Digital Health Bill, 2023 (national Assembly No. 57) Of 2023","","NOT_FOUND","NOT_FOUND"
"643c1b2b-1be8-439b-b2f5-3be4cf549abd","Political Parties (amendment) Bill, 2022","","STUB","STUB_PDF_96chars"
"f59effc9-824a-42b7-8120-2b555f1d5129","Supplementary Appropriation Bill 2024","","NOT_FOUND","NOT_FOUND"
"45762970-a4ed-49a5-96b2-465e1c9f4a57","Equalisation Fund Bill, 2022","","NOT_FOUND","NOT_FOUND"
"d48c611b-6492-4ed5-8bc2-d3c7f5ea884c","The Tax Procedures (amendment) (no. 2) Bill, 2024 (national Assembly Bills No. 46)","","STUB","STUB_PDF_279chars"
"a9670181-3df5-4d79-a157-2349c8fd8318","Supplementary Order Paper For Tuesday, 24th February 2026","The Chairperson, Budget and Appropriations Committee","HIGH","DEEPSEEK"
"7ac9b5db-6b15-43e4-900e-41ce8985d36f","The Vocational Training Bill, Senate Bill No. 3 Of 2022","","NOT_FOUND","NOT_FOUND"
"1c11dad6-2e20-4f39-abbe-7061b5744d61","The Water (amendment) Bill , 2023","","NOT_FOUND","NOT_FOUND"
"76681915-360f-432f-bf3c-67ddc60c03ff","The Penal Code(amendment) Bill,2026","","NOT_FOUND","NOT_FOUND"
"dc2b7d92-7618-4c89-b520-81b67e4d11d8","Order Paper For Thursday, 12th February 2026","The Hon. Njeri Maina, M.P.","HIGH","DEEPSEEK"
"1497c6c1-6508-47bc-8eb7-f8a1322ffccc","Pensions (amendment) Bill, 2022","","STUB","STUB_PDF_128chars"
"41b3e07e-78cc-4c71-935b-7598f3e8ba4c","The Anti-money Laundering And Combating Of Terrorism Financing Laws (amendment) Bill, 2023","","NOT_FOUND","NOT_FOUND"
"60ebe1e6-3a1a-4dfe-a8e4-005228392144","The National Anthem Copyright Laws ( Amendment) Bill, 2023","WILLIAM CHEPTUMO, Chairperson, Senate Standing Committee on National Security, Defence and Foreign Relations.","HIGH","DEEPSEEK"
"dc5af555-6d75-4e66-b6e9-a1819aa6cf4a","The Public Service Internship Bill, 2022","","STUB","STUB_PDF_207chars"
"1b1ed101-c8ff-42e1-8b7b-03f38cbf1dfa","The Public Procurement And Asset Disposal (amendment) Bill, 2022","","STUB","STUB_PDF_128chars"
"8968f536-c5b7-4b20-bc43-35176a434105","The National Rating Bill, 2022","","NOT_FOUND","NOT_FOUND"
"eaa1989b-fb09-4c23-b91c-716627a88af8","The Meteorology Bill,2023","","NOT_FOUND","NOT_FOUND"
"2151df62-d239-4f6c-b9cf-c2e965b84eac","The Division Of Revenue Bill, 2026","","NOT_FOUND","NOT_FOUND"
"4f35cf99-57a9-47b2-940f-da70b7c9ab2c","Public Finance Management (amendment) Bill, 2022","","STUB","STUB_PDF_96chars"
"0d16560b-a343-45d9-8448-8262ccf530bd","The Penal Code (amendment) Bill, 2022","","STUB","STUB_PDF_128chars"
"6aa38bc8-3c23-4ff6-b20c-e40048c1ebf8","The Government Owned Enterprises Bill, 2025","","NOT_FOUND","NOT_FOUND"
