county,constituency_code,constituency_name,office_location,landmark,distance_from_landmark,latitude,longitude,geocode_method,geocode_confidence,accuracy_meters,formatted_address,successful_geocode_query,total_queries_tried,geocode_status
Mombasa,,Changamwe,At Changamwe firestation,Changamwe firestation,0 meters,-4.0169653,39.6086385,tomtom,0.6193149089800001,5898.184098127718,"Changamwe, Coast","Changamwe, Mombasa County, Kenya",1,enhanced
Mombasa,,Jomvu,Mikindani Police Station,Mikindani Police Station,0 meters,-4.0435,39.6682,constituency_center,0.4,10000.0,"Jomvu Constituency Center, Mombasa",CONSTITUENCY_CENTER,1,enhanced
Mombasa,,Kisauni,"Bamburi Fisheries, Shangaza Estate House 9",Supa Loaf Bakery,50 meters,-4.0434,39.6683,constituency_center_offset,0.4,10000.0,"Kisauni Constituency Center, Mombasa",CONSTITUENCY_CENTER,1,enhanced
Mombasa,,Nyali,Chiefs office Kongowea,DCC Nyali's office,0 meters,-4.0542845,39.6904348,tomtom,0.64365310669,4434.760170296207,"Nyali, Coast","Nyali, Mombasa County, Kenya",1,enhanced
Mombasa,,Likoni,Shika Adabu,Shika Adabu Chiefs office,10 meters,-4.0433,39.6684,constituency_center_offset,0.4,10000.0,"Likoni Constituency Center, Mombasa",CONSTITUENCY_CENTER,1,enhanced
Mombasa,,Mvita,"Kizingo, Rashid Sajad road",Chef Royale Restaurant,20 meters,-4.0432,39.6685,constituency_center_offset,0.4,10000.0,"Mvita Constituency Center, Mombasa",CONSTITUENCY_CENTER,1,enhanced
Kwale,,Msambweni,Msambweni Dcc's Office Compound,Subcounty Headquarters of,100 Metres,-4.180233786270461,39.4556315137532,provider_refined:locationiq,0.6,200.0,"County Government Headquarters, Kwale, Coast, Kenya",,0,success
Kwale,,Lungalunga,Mbuyuni Area Next to Rafiki Yetu Building,Mnarani (Communication Mast),100 Metres,0.5549499270418363,37.90330264432511,provider_refined:locationiq,0.6,200.0,Kenya,,0,success
Kwale,,Matuga,"IEBC Offices, Kwale Town, Opposite Ministry of","Baraza Park, Kwale Town",200 Metres,1.761309087203347,40.05690704072601,provider_refined:locationiq,0.6,400.0,"IEBC Offices, Wajir, North-Eastern, Kenya",,0,success
Kwale,,Kinango,"Bebora Plaza, 3rd Floor, Kinango Town",Chief's Office Kinango Town,10 Metres,-4.1362573,39.3191131,tomtom,0.61933107376,76103.88792444555,"Kinango, Coast","Kinango, Kwale County, Kenya",1,enhanced
Kilifi,,Kilifi North,Next To Huduma Centre Kilifi,Kilifi Bridge,550 Metres,-3.6337024,39.8498467,tomtom,0.9,37710.57791682659,"Kilifi North, Coast","Kilifi North, Kilifi County, Kenya",1,enhanced
Kilifi,,Kilifi South,Majengo Kanamai,Matatu Terminus - Majengo Kanamai,600 Metres,-3.4809846243509983,39.57069245703246,provider_refined:locationiq,0.6,1200.0,"majengo waterpan, Kilifi, Coast, Kenya",,0,success
Kilifi,,Kaloleni,Adjacent To St.Johns Girls Sec. School,Ack Church Kaloleni,50 Metres,-3.8168669,39.6266002,tomtom,0.61928272247,23973.148562334663,"Kaloleni, Coast","Kaloleni, Kilifi County, Kenya",1,enhanced
Kilifi,,Rabai,Shikaadabu,Cdf Office/Shikaadabu Dispensary,500 Metres,-3.933556896357174,39.55767229778836,provider_refined:locationiq,0.6,1000.0,"Rabai Power Plant, Kilifi, Coast, Kenya",,0,success
Kilifi,,Ganze,Ganze Town,Ganze Sub-County Police Hq.,0,-3.5367319,39.6923692,tomtom,0.61924247742,49552.740016633885,"Ganze, Coast","Ganze, Kilifi County, Kenya",0,enhanced
Kilifi,,Malindi,Maweni Area - Near Judo,Malindi Sub-County Hospital,600 Metres,-3.2131856,40.1180017,tomtom,0.61958055496,27927.669641877183,"Malindi, Coast","Malindi, Kilifi County, Kenya",1,enhanced
Kilifi,,Magarini,Near Mwembe Resort,Mwembe Resort,300 Metres,-3.038199579822446,40.07039792355241,provider_refined:locationiq,0.6,600.0,"Magarini, Malindi, Coast, Kenya",,0,success
