Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,Date_established
Fully-functional,Nadanya Dispensary,Lyaduywa/Izava,Sabatia,Sabatia,Vihiga,Mukingi Community Unit,703403,41792
Fully-functional,Kegondi Health Centre,West Sabatia,Sabatia,Sabatia,Vihiga,Hamuyundi Community Unit,703415,41074
Fully-functional,Kegondi Health Centre,West Sabatia,Sabatia,Sabatia,Vihiga,Solongo Community Unit,703416,41974
Fully-functional,Givudimbuli Health Centre,Wodanga,Sabatia,Sabatia,Vihiga,Gaigedi Community Unit,703417,41703
Fully-functional,Givudimbuli Health Centre,Wodanga,Sabatia,Sabatia,Vihiga,Gaigedi,703418,41703
Fully-functional,KAKUTHA DISPENSARY,Mbitini,Makueni,Makueni,Makueni,Kakutha Community Health Unit,703401,43878
Fully-functional,Ivinga Nzia Dispensary,Mavindini,Makueni,Makueni,Makueni,Ivinga Nzia Community Health Unit,703400,43889
Fully-functional,Didewaride Dispensary,Witu,Lamu West,Lamu West,Lamu,Didewaride Community Unit,703395,43529
non-functinoal,Kianjuri Dispensary,Ntima West,North Imenti,Imenti North,Meru,Kirugua Community Health Unit,703399,43850
semi-functional,Karii Dispensary,Akithii,Tigania West,Tigania West,Meru,Karii Comunity Health Unit,703398,43836
Fully-functional,Sinambio Disp,Hongwe,Lamu West,Lamu West,Lamu,Bomani Community Unit,703393,42618
Fully-functional,Hongwe Catholic Dispensary,Hongwe,Lamu West,Lamu West,Lamu,Hongwe Community Unit,703394,41519
Fully-functional,Nyachogochogo Dispensary,Bassi Bogetaorio,Bobasi,Bobasi,Kisii,Rogongo Community Health Unit,703381,41701
Fully-functional,Rusinga Dispensary,Bobasi/Boitangare,Bobasi,Bobasi,Kisii,Rusinga Community Health Unit(Bobasi/Boitangare),703382,41701
Fully-functional,Rusinga Dispensary,Bobasi/Boitangare,Bobasi,Bobasi,Kisii,Riobara Community Health Unit,703383,41701
Fully-functional,Omosaria Dispensary,Masige West,Bobasi,Bobasi,Kisii,Orogare Community Health Unit,703384,41701
Fully-functional,Nyacheki Sub County Hospital,Nyacheki,Bobasi,Bobasi,Kisii,Getai Community Health Unit,703385,41701
Fully-functional,Gionsaria Health Centre (Nyamache),Bassi Bogetaorio,Bobasi,Bobasi,Kisii,Riontweka Community Health Unit,703388,41701
Fully-functional,Nyacheki Sub County Hospital,Nyacheki,Bobasi,Bobasi,Kisii,Keera Community Health Unit,703389,41701
Fully-functional,Sugubo Dispensary,Nyacheki,Bobasi,Bobasi,Kisii,Riosugo Community Health Unit,703390,41701
Fully-functional,Rusinga Dispensary,Bobasi/Boitangare,Bobasi,Bobasi,Kisii,Nyamagwa Community Health Unit,703392,41701
Fully-functional,Motonto Health Centre,Bobasi Chache,Bobasi,Bobasi,Kisii,Getenga Community Health Unit,703386,41701
Fully-functional,Nyansakia Health Centre,Sameta/Mokwerero,Bobasi,Bobasi,Kisii,Nyagancha Community Health Unit,703391,41701
Fully-functional,Nyamokenye Health Centre(Sameta),Sameta/Mokwerero,Bobasi,Bobasi,Kisii,Rigo Community Health Unit,703387,41701
