Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
25720,Itete Dispensary,Itete Dispensary,01245,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,8,3,11,Kakamega,Matungu,Matungu,Koyonzo,Operational,No,No,No,No,,Yes,Yes,No
None,Mukavakava,Mukavakava,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,1,1,Kakamega,Malava,Malava,Butali/Chegulo,Operational,No,No,No,No,,Yes,Yes,No
None,Nchurra Dispensary,Nchurra Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Narok,Narok South,Narok South,Melelo,Operational,No,No,No,No,,Yes,Yes,No
25716,Kitaor  Dispensary,Kitaor  Dispensary,26121,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nandi,Aldai,Aldai,Kemeloi-maraba,Operational,No,No,No,No,,Yes,Yes,No
25697,Emaira Dispensary,Emaira Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,0,Kakamega,Butere,Butere,Marama West,Operational,No,No,No,No,,Yes,Yes,No
25693,Ntharawe Dispensary,Ntharawe Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Embu,Mbeere South,Mbeere South,Kiambere,Operational,No,No,No,No,,Yes,Yes,No
25694,Shichinji Dispensary,Shichinji Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,4,1,5,Kakamega,Ikolomani,Ikolomani,Idakho North,Operational,No,No,No,No,,Yes,Yes,No
25692,Munasio Dispensary,Munasio Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kakamega,Shinyalu,Shinyalu,Isukha West,Operational,No,No,No,No,,Yes,Yes,No
25673,Kibotany Dispensary,Kibotany Dispensary,3655,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Baringo,Mogotio,Mogotio,Kisanana,Operational,No,No,No,No,,Yes,Yes,No
25679,Muye Wa Kaye,Muye Wa Kaye,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kilifi,Magarini,Magarini,Adu,Operational,No,No,No,No,,Yes,Yes,No
25626,Mbudzi Community Health Centre,Mbudzi Community Health Centre,n/a,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kilifi,Ganze,Ganze,Jaribuni,Operational,No,No,No,No,,Yes,Yes,No
None,Kichawa Health Center,Kichawa Health Center,0000,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Homa Bay,Karachuonyo,Karachuonyo,Kanyaluo,Operational,No,No,No,No,,Yes,Yes,No
None,Ntalabany Dispensary,Ntalabany Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Laikipia,Laikipia North,Laikipia North,Mugogodo East,Operational,No,No,No,No,,Yes,Yes,No
25635,Gatuune Dispensary,Gatuune Dispensary,N/A,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Meru,Central Imenti,Imenti Central,Mwangathia,Operational,No,No,No,No,,Yes,Yes,No
25597,Bombangi Dispensary,Bombangi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,12,0,12,Nyamira,West Mugirango,Nyamira,Township,Operational,No,No,No,No,,Yes,Yes,No
25612,MIKINDUNI DISPENSARY,MIKINDUNI DISPENSARY,159639,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),2,0,2,Tana River,Galole,Galole,Mikinduni,Operational,No,No,No,No,,Yes,Yes,No
25596,Nyamanga Dispensary(Ndhiwa),Nyamanga Dispensary(Ndhiwa),,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,Homa Bay,Ndhiwa,Ndhiwa,Kanyamwa Kosewe,Operational,No,No,No,No,,Yes,Yes,No
None,Kimoriot Dispensary,Kimoriot Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,3,2,5,Baringo,Baringo South,Marigat,Mochongoi,Operational,No,No,No,No,,Yes,Yes,No
25580,Tuwo Dipensary,Tuwo Dipensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,0,0,0,Baringo,Tiaty,Tiaty East,Loiyamorok,Operational,No,No,No,No,,Yes,Yes,No
25564,Munoru Dispensary,Munoru Dispensary,N/A,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nyandarua,Kipipiri,Kipipiri,Githioro,Operational,No,No,No,No,,Yes,Yes,No
