county,constituency_code,constituency_name,office_location,landmark,distance_from_landmark,latitude,longitude,geocode_method,geocode_confidence,accuracy_meters,formatted_address,successful_geocode_query,total_queries_tried,geocode_status
Kwale,,Msambweni,Msambweni Dcc's Office Compound,Subcounty Headquarters of,100 Metres,,,pending,0.0,9999.0,Geocoding failed for Msambweni,,0,failed
Kwale,,Lungalunga,Mbuyuni Area Next to Rafiki Yetu Building,Mnarani (Communication Mast),100 Metres,,,pending,0.0,9999.0,Geocoding failed for Lungalunga,,0,failed
Kwale,,Matuga,"IEBC Offices, Kwale Town, Opposite Ministry of","Baraza Park, Kwale Town",200 Metres,,,pending,0.0,9999.0,Geocoding failed for Matuga,,0,failed
Kilifi,,Kilifi South,Majengo Kanamai,Matatu Terminus - Majengo Kanamai,600 Metres,,,pending,0.0,9999.0,Geocoding failed for Kilifi South,,0,failed
Kilifi,,Rabai,Shikaadabu,Cdf Office/Shikaadabu Dispensary,500 Metres,,,pending,0.0,9999.0,Geocoding failed for Rabai,,0,failed
Kilifi,,Magarini,Near Mwembe Resort,Mwembe Resort,300 Metres,,,pending,0.0,9999.0,Geocoding failed for Magarini,,0,failed
Tana River,,Garsen,Garsen Town,Kcb Bank,100 Metres,,,pending,0.0,9999.0,Geocoding failed for Garsen,,0,failed
Tana River,,Galole,Hola Town,Kenya Medical Training,50 Metres,,,pending,0.0,9999.0,Geocoding failed for Galole,,0,failed
Tana River,,Bura,Bura Town,National Government Offices,0 Metres,,,pending,0.0,9999.0,Geocoding failed for Bura,,0,failed
Lamu,,Lamu East,Batuli Mudh-hir Haji Building - Faza,Post Office - Faza,Adjacent,,,pending,0.0,9999.0,Geocoding failed for Lamu East,,0,failed
Lamu,,Lamu West,Ministry of Housing Office Building - Mokowe,Public Work Office - Mokowe,100 Metres,,,pending,0.0,9999.0,Geocoding failed for Lamu West,,0,failed
Taita Taveta,,Mwatate,"Mwatate old market, along Wundanyi road",Tavevo water and sewerage company ltd 50 Meters,,,,pending,0.0,9999.0,Geocoding failed for Mwatate,,0,failed
Wajir,,Wajir North,Bute,Police Station,100 Metres,,,pending,0.0,9999.0,Geocoding failed for Wajir North,,0,failed
Wajir,,Wajir East,Wajir,Huduma Centre,20 Metres,,,pending,0.0,9999.0,Geocoding failed for Wajir East,,0,failed
Wajir,,Tarbaj,Tarbaj,Ward Administrator’s Office,50 Metres,,,pending,0.0,9999.0,Geocoding failed for Tarbaj,,0,failed
Wajir,,Wajir West,Giriftu,DCC’s Office,100 Metres,,,pending,0.0,9999.0,Geocoding failed for Wajir West,,0,failed
Wajir,,Eldas,Eldas,DC‘s Residence,50 Metres,,,pending,0.0,9999.0,Geocoding failed for Eldas,,0,failed
Wajir,,Wajir South,Habaswein,AP Camp,100 Metres,,,pending,0.0,9999.0,Geocoding failed for Wajir South,,0,failed
Mandera,,Banissa,"Banissa Town, Along Banissa-Rhamu Road",Next to Malkamari Hotel,20 Meters,,,pending,0.0,9999.0,Geocoding failed for Banissa,,0,failed
Mandera,,Mandera West,Opposite Takaba Primary Main Gate,Takaba Primary School,20 Meters,,,pending,0.0,9999.0,Geocoding failed for Mandera West,,0,failed
Mandera,,Mandera South,Elwak CBD Along Elwak-Wajir Road,Dido Petrol Station,30 Metres,,,pending,0.0,9999.0,Geocoding failed for Mandera South,,0,failed
Mandera,,Mandera East,Off Suftu Road Behind Blue Light Petrol Station,Blue Light Petrol Station,50 Metres,,,pending,0.0,9999.0,Geocoding failed for Mandera East,,0,failed
Marsabit,,Moyale,ACK Moyale.,St. Paul Training Center,Within the Compound,,,pending,0.0,9999.0,Geocoding failed for Moyale,,0,failed
Marsabit,,North Horr,Nyota Self Help Group North Horr,Adjacent to AP Camp,300 Metres,,,pending,0.0,9999.0,Geocoding failed for North Horr,,0,failed
Marsabit,,Saku,"ACK Saku Offices Building,",St. Peter Cathedral,Within The Compound,,,pending,0.0,9999.0,Geocoding failed for Saku,,0,failed
Marsabit,,Laisamis,DCC Office Laisamis,DCC Office,DCC Compound,,,pending,0.0,9999.0,Geocoding failed for Laisamis,,0,failed
Isiolo,,Isiolo South,Garbatulla Town,Garbatulla Catholic Mission,Within Garbatulla Catholic,,,pending,0.0,9999.0,Geocoding failed for Isiolo South,,0,failed
Tharaka-Nithi,,Maara,"DCC Compound, Kienganguru",DCC Compound,100 Metres,,,pending,0.0,9999.0,Geocoding failed for Maara,,0,failed
Tharaka-Nithi,,Chuka/ Igambang'ombe,"Chuka Town, Sub County Office Compound",Opposite Trans National Bank,200 Metres,,,pending,0.0,9999.0,Geocoding failed for Chuka/ Igambang'ombe,,0,failed
Tharaka-Nithi,,Tharaka,"Marimanti Town, DCC Compound",DCC Offices,200 Metres,,,pending,0.0,9999.0,Geocoding failed for Tharaka,,0,failed
Makueni,,Mbooni,Tawa Social Hall,Tawa Law Courts,80 Metres,,,pending,0.0,9999.0,Geocoding failed for Mbooni,,0,failed
Makueni,,Kilome,Kwa DC (Malili),Konza City (Malili),1 km (along NBI-MSA Highway),,,pending,0.0,9999.0,Geocoding failed for Kilome,,0,failed
Makueni,,Kaiti,Mukuyuni Shopping Centre (CDF Compound),Mukuyuni Police Station,200 Metres,,,pending,0.0,9999.0,Geocoding failed for Kaiti,,0,failed
Makueni,,Kibwezi West,Makindu Town,DCCs Office,Same compound,,,pending,0.0,9999.0,Geocoding failed for Kibwezi West,,0,failed
Makueni,,Kibwezi East,Kambu Lutheran Church,Kambu Sub County (Ministry of Interior Office),150 Metres,,,pending,0.0,9999.0,Geocoding failed for Kibwezi East,,0,failed
Nyandarua,,Ol Kalou,IEBC County Headqauters,Posta Building Olkalou,Within,,,pending,0.0,9999.0,Geocoding failed for Ol Kalou,,0,failed
Kirinyaga,,Mwea,County Council Offices Wanguru,Wanguru Police Station,50 Metres,,,pending,0.0,9999.0,Geocoding failed for Mwea,,0,failed
Kirinyaga,,Gichugu,All Saints Kianyaga ACK,Raimu Primary School,50 Metres,,,pending,0.0,9999.0,Geocoding failed for Gichugu,,0,failed
Kirinyaga,,Ndia,Baricho Town,A.C.K St Philips - Baricho,0.5metres,,,pending,0.0,9999.0,Geocoding failed for Ndia,,0,failed
Kirinyaga,,Kirinyaga Central,Kerugoya Municipal Council Offices,Kerugoya Police Station/Kerugoya State,50 Metres,,,pending,0.0,9999.0,Geocoding failed for Kirinyaga Central,,0,failed
Kirinyaga,,Kangema,Kangema Town,DCC’s offices.,Within th DCC's office,,,pending,0.0,9999.0,Geocoding failed for Kangema,,0,failed
Kirinyaga,,Mathioya,Kiria-Ini Town,DCC’s offices.,Within th DCC's office,,,pending,0.0,9999.0,Geocoding failed for Mathioya,,0,failed
Kirinyaga,,Kiharu,Murang’a -,"Along Kenol Murang'a Road, Next To Rubis Petrol Station at",100 Meters,,,pending,0.0,9999.0,Geocoding failed for Kiharu,,0,failed
Kirinyaga,,Kigumo,Kangari Town,"East End Mall, Building, 3rd Floor. Kangari Town.",Within Muungano Microfinance buidling,,,pending,0.0,9999.0,Geocoding failed for Kigumo,,0,failed
Kirinyaga,,Maragwa,Makuyu,"World Vision Block adjudcent to ACC’s Office, Makuyu",20 Meters ACCs office Makuyu,,,pending,0.0,9999.0,Geocoding failed for Maragwa,,0,failed
Kirinyaga,,Kandara,Kandara Town,"Hurukai House, 2nd Floor Above Amica Sacco, 500 meters",500 Meters from DCC's office,,,pending,0.0,9999.0,Geocoding failed for Kandara,,0,failed
Kirinyaga,,Gatanga,Kirwara Town,"Next to Amica Sacco Building, Ground Floor. Kirwara Town.",20 Meters from Kirwara Police Station,,,pending,0.0,9999.0,Geocoding failed for Gatanga,,0,failed
Kiambu,,Gatundu North,Kamwangi,DCC Office Kamwangi,Within DCC Office Compound,,,pending,0.0,9999.0,Geocoding failed for Gatundu North,,0,failed
Kiambu,,Juja,Menja Vision Plaza,Behind Agakhan Hospital,30 Metres,,,pending,0.0,9999.0,Geocoding failed for Juja,,0,failed
