county,constituency_code,constituency_name,office_location,landmark,distance_from_landmark
Mombasa,,Changamwe,At Changamwe firestation,Changamwe firestation,0 meters
Mombasa,,Jomvu,Mikindani Police Station,Mikindani Police Station,0 meters
Mombasa,,Kisauni,"Bamburi Fisheries, Shangaza Estate House 9",Supa Loaf Bakery,50 meters
Mombasa,,Nyali,Chiefs office Kongowea,DCC Nyali's office,0 meters
Mombasa,,Likoni,Shika Adabu,Shika Adabu Chiefs office,10 meters
Mombasa,,Mvita,"Kizingo, Rashid Sajad road",Chef Royale Restaurant,20 meters
Kwale,,Msambweni,Msambweni Dcc's Office Compound,Subcounty Headquarters of,100 Metres
Kwale,,Lungalunga,Mbuyuni Area Next to Rafiki Yetu Building,Mnarani (Communication Mast),100 Metres
Kwale,,Matuga,"IEBC Offices, Kwale Town, Opposite Ministry of","Baraza Park, Kwale Town",200 Metres
Kwale,,Kinango,"Bebora Plaza, 3rd Floor, Kinango Town",Chief's Office Kinango Town,10 Metres
Kilifi,,Kilifi North,Next To Huduma Centre Kilifi,Kilifi Bridge,550 Metres
Kilifi,,Kilifi South,Majengo Kanamai,Matatu Terminus - Majengo Kanamai,600 Metres
Kilifi,,Kaloleni,Adjacent To St.Johns Girls Sec. School,Ack Church Kaloleni,50 Metres
Kilifi,,Rabai,Shikaadabu,Cdf Office/Shikaadabu Dispensary,500 Metres
Kilifi,,Ganze,Ganze Town,Ganze Sub-County Police Hq.,0
Kilifi,,Malindi,Maweni Area - Near Judo,Malindi Sub-County Hospital,600 Metres
Kilifi,,Magarini,Near Mwembe Resort,Mwembe Resort,300 Metres
Tana River,,Garsen,Garsen Town,Kcb Bank,100 Metres
Tana River,,Galole,Hola Town,Kenya Medical Training,50 Metres
Tana River,,Bura,Bura Town,National Government Offices,0 Metres
Lamu,,Lamu East,Batuli Mudh-hir Haji Building - Faza,Post Office - Faza,Adjacent
Lamu,,Lamu West,Ministry of Housing Office Building - Mokowe,Public Work Office - Mokowe,100 Metres
Taita Taveta,,Taveta,Next to Probation office Taveta,Probation Office Taveta,5 Metres
Taita Taveta,,Wundanyi,Along Administration offices(Deputy County,Next to Kenya Forest Service County office 50 Meters,
Taita Taveta,,Mwatate,"Mwatate old market, along Wundanyi road",Tavevo water and sewerage company ltd 50 Meters,
